"","x"
"1",3
"2",3
"3",3
"4",4
"5",2
"6",2
"7",2
"8",1
"9",3
"10",3
"11",3
"12",3
"13",3
"14",3
"15",3
"16",4
"17",3
"18",3
"19",3
"20",3
"21",3
"22",3
"23",4
"24",3
"25",3
"26",3
"27",3
"28",4
"29",3
"30",3
"31",3
"32",3
"33",3
"34",3
"35",3
"36",3
"37",3
"38",2
"39",1
"40",2
"41",3
"42",3
"43",2
"44",3
"45",2
"46",3
"47",3
"48",3
"49",3
"50",3
"51",3
"52",3
"53",3
"54",3
"55",3
"56",3
"57",3
"58",3
"59",3
"60",3
"61",3
"62",3
"63",1
"64",2
"65",3
"66",1
"67",3
"68",3
"69",2
"70",2
"71",2
"72",3
"73",3
"74",4
"75",3
"76",3
"77",3
"78",3
"79",3
"80",3
"81",3
"82",3
"83",3
"84",3
"85",2
"86",1
"87",4
"88",4
"89",3
"90",1
"91",4
"92",2
"93",3
"94",3
"95",3
"96",3
"97",3
"98",3
"99",2
"100",1
"101",1
"102",3
"103",3
"104",2
"105",3
"106",2
"107",4
"108",1
"109",3
"110",4
"111",3
"112",3
"113",2
"114",2
"115",1
"116",3
"117",3
"118",3
"119",3
"120",1
"121",1
"122",3
"123",4
"124",3
"125",3
"126",3
"127",3
"128",1
"129",4
"130",2
"131",2
"132",2
"133",3
"134",1
"135",3
"136",2
"137",3
"138",3
"139",3
"140",3
"141",3
"142",1
"143",2
"144",3
"145",3
"146",3
"147",1
"148",1
"149",3
"150",4
"151",3
"152",4
"153",3
"154",2
"155",1
"156",3
"157",3
"158",2
"159",3
"160",3
"161",3
"162",3
"163",4
"164",3
"165",3
"166",3
"167",3
"168",3
"169",3
"170",3
"171",3
"172",2
"173",3
"174",4
"175",3
"176",3
"177",4
"178",3
"179",1
"180",1
"181",3
"182",3
"183",3
"184",3
"185",3
"186",3
"187",4
"188",1
"189",2
"190",1
"191",3
"192",3
"193",3
"194",4
"195",3
"196",1
"197",3
"198",3
"199",3
"200",2
"201",3
"202",3
"203",1
"204",1
"205",3
"206",3
"207",3
"208",3
"209",3
"210",3
"211",3
"212",3
"213",2
"214",3
"215",4
"216",1
"217",3
